ts,yaw,pitch,roll
58864,-2.1034126,13.688663,-2.6975238
58896,-2.1950774,13.599773,-2.6108258
58912,-2.308053,13.646388,-2.5904815
58928,-2.2666965,13.619473,-2.624025
58944,-2.3684347,13.779912,-2.5796754
58976,-2.3341227,13.653185,-2.5379505
58993,-2.2086422,13.625214,-2.484367
59009,-2.2876992,13.485462,-2.4571707
59025,-2.2297108,13.352199,-2.4931393
59056,-2.208556,13.601474,-2.5712798
59072,-2.2563002,13.471332,-2.6157598
59088,-2.2059655,13.449905,-2.626368
59104,-2.201015,13.393073,-2.539232
59136,-2.2152936,13.313141,-2.568866
59152,-2.2588847,13.138343,-2.4784024
59168,-2.1947675,13.068491,-2.4886017
59184,-2.3200412,13.227053,-2.4903371
59216,-2.267832,13.251385,-2.5163085
59232,-2.1846778,13.022154,-2.454896
59248,-2.3369472,13.179165,-2.4795463
59264,-2.4636464,13.196788,-2.4321647
59296,-2.3541458,13.234775,-2.4328618
59312,-2.314657,13.143471,-2.4224823
59328,-2.1881382,13.540533,-2.3883693
59344,-2.2610373,13.2644825,-2.400635
59377,-2.375282,13.286409,-2.4168646
59393,-2.228253,13.375229,-2.4209282
59408,-2.320355,13.141866,-2.3571723
59424,-2.30687,13.2744665,-2.378867
59456,-2.4235184,12.8135,-2.3513474
59472,-2.3833656,12.6046715,-2.3875318
59488,-2.501861,12.363302,-2.3263874
59504,-2.4291246,12.465262,-2.3159142
59536,-2.4210765,12.564207,-2.3421016
59552,-2.3369958,12.565654,-2.3790512
59568,-2.1337478,12.420586,-2.3809745
59584,-2.0850224,12.3195915,-2.398638
59616,-2.2633088,12.042804,-2.4739285
59632,-2.246411,11.950299,-2.4842691
59648,-2.3329732,11.811737,-2.4742312
59664,-2.054625,11.6242895,-2.368329
59696,-2.083085,11.776276,-2.330995
59712,-2.1207805,11.823269,-2.4112077
59729,-2.0333238,11.934045,-2.3916106
59745,-2.3891954,11.811382,-2.3974242
59776,-2.2708037,11.96638,-2.4479644
59792,-2.2161195,11.901591,-2.3556955
59808,-2.331863,11.819284,-2.374813
59824,-2.1418402,12.03609,-2.3862956
59856,-2.1926773,11.966711,-2.3519418
59872,-2.0411456,11.857706,-2.3707712
59888,-2.0753338,11.927591,-2.4243948
59904,-2.2670617,11.921254,-2.476806
59936,-2.2769463,11.775737,-2.531255
59952,-2.1631553,11.586397,-2.598081
59968,-2.1298337,11.801045,-2.4988263
59984,-2.1645486,11.676733,-2.5950851
60016,-2.32912,11.588206,-2.6111798
60032,-2.281568,11.533967,-2.6714432
60048,-1.9584354,11.741266,-2.658979
60064,-2.1165009,11.590636,-2.601376
60096,-2.1851633,11.52156,-2.5730755
60113,-2.1056638,11.4415655,-2.5673156
60129,-2.0565977,11.540134,-2.5770786
60145,-2.2215517,11.528324,-2.5073795
60176,-2.3766196,11.571846,-2.4222987
60192,-2.278227,11.625843,-2.5243816
60208,-2.2104042,11.685972,-2.583586
60224,-2.4155514,11.5694685,-2.5891669
60256,-2.2297904,11.557171,-2.6198673
60272,-2.2760656,11.667378,-2.6325707
60288,-2.265078,11.655693,-2.5279849
60304,-2.1805508,11.521233,-2.529387
60336,-2.3433857,11.3667145,-2.6013148
60352,-2.0370283,11.943529,-2.5215724
60368,-2.2207997,11.941809,-2.4832754
60384,-2.2882967,11.783424,-2.4317794
60416,-2.1944132,11.748514,-2.4251404
60432,-2.2735982,11.686815,-2.3811653
60448,-2.5246794,11.47835,-2.5994823
60465,-2.489747,11.633143,-2.5584624
60497,-2.3325248,11.677767,-2.5099726
60513,-2.333884,11.817079,-2.539027
60528,-2.234396,11.708854,-2.5671926
60544,-2.197548,11.568572,-2.5245245
60576,-2.0657816,11.646422,-2.5793352
60592,-2.117991,11.558428,-2.6257303
60608,-2.0498693,11.483136,-2.6541734
60624,-2.1014128,11.552457,-2.5725932
60656,-2.1785758,11.530852,-2.506312
60672,-2.2947166,11.432006,-2.473529
60688,-2.2590265,11.525468,-2.409636
60704,-2.2442458,11.52166,-2.409946
60736,-2.2926505,11.731009,-2.4379575
60752,-2.1751966,11.704735,-2.5294085
60768,-2.228654,11.6631565,-2.5727336
60784,-2.2805946,11.548604,-2.6233332
60816,-2.2679806,11.57305,-2.617226
60833,-2.5145829,11.403102,-2.6642654
60849,-2.4487855,11.593326,-2.4358213
60865,-2.5425067,11.546371,-2.4521205
60897,-2.4644425,11.375223,-2.5025978
60912,-2.4747968,11.535342,-2.5064824
60928,-2.5708554,11.422274,-2.5106387
60944,-2.5076244,11.57197,-2.365503
60976,-2.4449599,11.695584,-2.3890924
60992,-2.3966506,12.140616,-2.3565361
61008,-2.1755638,12.221613,-2.0488906
61024,-2.3977988,11.8132,-1.7547151
61056,-2.7067554,12.060646,-1.6071342
61072,-2.8819766,12.651344,-1.4892629
61088,-3.3121638,12.555959,-1.1848212
61104,-4.0408525,12.543272,-0.787261
61136,-4.7545786,12.221508,-0.559929
61152,-5.6234226,12.095407,-0.15541828
61168,-6.510908,11.752778,0.31532472
61184,-7.769256,11.209677,0.8493717
61216,-9.040091,10.819142,1.4169005
61233,-10.456102,10.395088,2.0323026
61249,-11.813957,9.973561,2.6718476
61265,-12.560346,9.684768,1.840579
61296,-12.23744,9.155053,0.7398345
61312,-12.958707,8.444085,0.76313955
61328,-13.645748,7.976485,1.2282029
61344,-14.857803,7.5450106,1.507792
61376,-15.850363,7.214516,1.9261748
61392,-16.381708,7.1828947,2.411319
61408,-16.58584,7.5846806,2.9374812
61424,-16.919205,7.782676,3.4041476
61456,-17.306082,7.511481,3.7301996
61472,-18.172,7.473964,4.122316
61488,-18.737215,7.0201144,4.411055
61504,-19.185673,6.2145305,4.509699
61536,-19.671211,5.5344057,4.5012364
61552,-20.043873,4.798856,4.626647
61568,-20.108023,4.7238417,4.8308744
61584,-20.47395,4.071428,4.9532895
61617,-21.099697,3.799648,5.036096
61633,-21.030832,3.822968,4.9918013
61648,-21.004305,3.763823,5.065783
61664,-20.92382,3.4494019,5.0571427
61696,-21.058489,3.5260143,5.0562205
61712,-21.098696,3.4490561,4.9365845
61728,-21.411242,3.6366158,4.9400253
61744,-21.71222,3.9774585,4.878084
61776,-22.06979,3.8792942,4.7686625
61792,-22.303566,3.7907019,4.589205
61808,-22.598896,3.753481,4.3499765
61824,-22.90389,4.078023,4.2573667
61856,-23.428019,4.041266,3.9554024
61872,-23.369133,3.9909084,3.8160217
61888,-23.10264,4.0710363,3.5896213
61904,-23.240534,3.7821524,3.3204339
61936,-23.023254,3.3330336,2.8721423
